repo,issue_number,issue_url,title,state,created_at,closed_at,updated_at,matched_queries,matched_terms,suspected_trigger,prior_work_match,novelty_status,evidence_type,linked_fix_url,evidence_detail,labels,notes,is_valid,trigger_category,fp_order_mechanism,fix_summary,invalid_reason
vllm-project/vllm,23138,https://github.com/vllm-project/vllm/issues/23138,[Bug]:Non-deterministic outputs despite temperature=0.0 when handling concurrent requests,closed,2025-08-19T01:26:35Z,2025-12-18T02:25:18Z,2025-12-18T02:25:18Z,"""non-deterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",bf16;deterministic;fp16;fp32;non-deterministic;precision;reproducible;speculative,quantization_paths;cross_backend_architecture,tensor_parallel_all_reduce,known_prior_work,,,,bug;stale,,,quantization_paths;cross_backend_architecture,,,
vllm-project/vllm,25194,https://github.com/vllm-project/vllm/issues/25194,[Bug]: vLLM produces non-deterministic output due to Triton autotuner,closed,2025-09-18T18:40:19Z,2025-09-23T23:23:31Z,2025-09-23T23:23:31Z,"""non-deterministic"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",bf16;deterministic;different output;fp16;non-deterministic;reduction;speculative,quantization_paths;runtime_scheduling;cross_backend_architecture,batch_size_load;tensor_parallel_all_reduce,known_prior_work,,,,bug,,,quantization_paths;runtime_scheduling;cross_backend_architecture,,,
vllm-project/vllm,27076,https://github.com/vllm-project/vllm/issues/27076,[Bug]: AWQ Quantized Model Produces Non-Deterministic Outputs,closed,2025-10-17T04:10:07Z,2025-10-22T08:28:40Z,2025-10-22T08:28:40Z,"""non-deterministic"" ""floating point"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""rounding"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""MoE"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""floating point"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""quantization"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""rounding"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",deterministic;different output;floating point;MoE;non-deterministic;nondeterministic;precision;quantization;rounding;same seed,quantization_paths;moe_execution;cross_backend_architecture,,candidate_new_trigger,,,,bug,,,quantization_paths;moe_execution;cross_backend_architecture,,,
vllm-project/vllm,28317,https://github.com/vllm-project/vllm/issues/28317,[Bug]: Prefix caching leads to different outputs for Hermes-3-Llama-3.1-8B,closed,2025-11-07T18:47:56Z,2026-03-14T02:16:51Z,2026-03-14T02:16:51Z,"""nondeterministic"" ""bf16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""fp32"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""prefix cache"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""speculative"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",bf16;deterministic;different output;fp32;nondeterministic;precision;prefix cache;speculative,quantization_paths;memory_layout;cross_backend_architecture,batch_size_load;tensor_parallel_all_reduce,known_prior_work,,,,bug;stale,,,quantization_paths;memory_layout;cross_backend_architecture,,,
vllm-project/vllm,29521,https://github.com/vllm-project/vllm/issues/29521,[CI Failure]: mi325_1: Samplers Test,closed,2025-11-26T18:26:45Z,2026-02-20T18:40:39Z,2026-02-20T18:40:39Z,"""non-deterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",deterministic;fp16;non-deterministic;precision,cross_backend_architecture,,candidate_new_trigger,linked_pr_unmerged,https://github.com/vllm-project/vllm/pull/29161,PR #29161 is linked but not merged,ci-failure,,,cross_backend_architecture,,,
vllm-project/vllm,30498,https://github.com/vllm-project/vllm/issues/30498,[Bug]: GPT-OSS-120B returns null content when hitting max_tokens without --enforce-eager,closed,2025-12-11T16:40:42Z,2026-04-14T02:17:42Z,2026-04-14T02:17:42Z,"""non-deterministic"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",CUDA graph;deterministic;non-deterministic;prefix cache;reduction;speculative,runtime_scheduling;memory_layout;cross_backend_architecture,tensor_parallel_all_reduce,known_prior_work,maintainer_confirmation,https://github.com/vllm-project/vllm/issues/30498#issuecomment-3651456850,"I was able to confirm this is the same underlying issue as #26480, was able to reproduce it locally on gpt-oss-20b, and both of these issues are fixed for me by the small change...",bug;stale,,,runtime_scheduling;memory_layout;cross_backend_architecture,,,
vllm-project/vllm,31210,https://github.com/vllm-project/vllm/issues/31210,[Bug]: Wrong Generation Under High Concurrency When Using KVCache CPU Offload (vLLM 0.13.0),closed,2025-12-23T08:02:55Z,2026-05-08T02:20:40Z,2026-05-08T02:20:40Z,"""nondeterministic"" ""backend"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""preemption"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""prefix cache"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",backend;deterministic;different output;nondeterministic;preemption;prefix cache;reproducible,runtime_scheduling;cross_backend_architecture,batch_size_load,known_prior_work,linked_merged_pr,https://github.com/vllm-project/vllm/pull/29013,PR #29013 is merged,bug;stale,,,runtime_scheduling;cross_backend_architecture,,,
vllm-project/vllm,33123,https://github.com/vllm-project/vllm/issues/33123,[Bug][ROCm]: Prefix caching produces different output on first request (cache miss) vs subsequent requests (cache hit),closed,2026-01-26T23:38:23Z,2026-06-07T02:20:12Z,2026-06-07T02:20:12Z,"""non-deterministic"" ""accumulation"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""floating point"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""rounding"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",accumulation;associativity;atomic;backend;bf16;deterministic;different output;floating point;fp16;fp32;non-deterministic;precision;prefix cache;quantization;reduction;rounding;scheduler;speculative,speculative_decoding;quantization_paths;runtime_scheduling;memory_layout;cross_backend_architecture,batch_size_load;tensor_parallel_all_reduce,known_prior_work,,,,bug;rocm;stale,,,speculative_decoding;quantization_paths;runtime_scheduling;memory_layout;cross_backend_architecture,,,
vllm-project/vllm,42517,https://github.com/vllm-project/vllm/issues/42517,[Bug]: MTP produces different tokens than non-MTP at temperature=0 in eager mode,closed,2026-05-13T09:50:26Z,2026-05-13T14:16:00Z,2026-05-13T14:16:00Z,"""non-deterministic"" ""accumulation"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",accumulation;backend;bf16;CUDA graph;deterministic;non-deterministic;reproducible;speculative,runtime_scheduling;cross_backend_architecture,batch_size_load,known_prior_work,,,,,,,runtime_scheduling;cross_backend_architecture,,,
vllm-project/vllm,42518,https://github.com/vllm-project/vllm/issues/42518,[Bug]: MTP produces different tokens than non-MTP at temperature=0 in eager mode,closed,2026-05-13T09:53:57Z,2026-05-18T17:06:22Z,2026-05-19T07:53:56Z,"""non-deterministic"" ""accumulation"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""floating point"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",accumulation;backend;bf16;CUDA graph;deterministic;floating point;non-deterministic;reproducible;speculative,runtime_scheduling;cross_backend_architecture,batch_size_load,known_prior_work,,,,,,,runtime_scheduling;cross_backend_architecture,,,
