repo,issue_number,issue_url,title,state,created_at,closed_at,updated_at,matched_queries,matched_terms,suspected_trigger,prior_work_match,novelty_status,evidence_type,linked_fix_url,evidence_detail,labels,notes,is_valid,trigger_category,fp_order_mechanism,fix_summary,invalid_reason
vllm-project/vllm,25194,https://github.com/vllm-project/vllm/issues/25194,[Bug]: vLLM produces non-deterministic output due to Triton autotuner,closed,2025-09-18T18:40:19Z,2025-09-23T23:23:31Z,2025-09-23T23:23:31Z,"""deterministic"" ""bf16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""fp16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""prefix cache"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""speculative"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""different output"" ""bf16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""different output"" ""fp16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""different output"" ""prefix cache"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""different output"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""different output"" ""speculative"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""bf16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""fp16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""prefix cache"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""speculative"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""bf16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""fp16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""prefix cache"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""speculative"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",bf16;deterministic;different output;fp16;non-deterministic;prefix cache;reduction;speculative;temperature 0,quantization_paths;runtime_scheduling;cross_backend_architecture,,candidate_new_trigger,,,,bug,manual correction: Triton autotuner is not batch-invariance or TP/all-reduce prior work,,quantization_paths;runtime_scheduling;cross_backend_architecture,,,
vllm-project/vllm,29521,https://github.com/vllm-project/vllm/issues/29521,[CI Failure]: mi325_1: Samplers Test,closed,2025-11-26T18:26:45Z,2026-02-20T18:40:39Z,2026-02-20T18:40:39Z,"""deterministic"" ""fp16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""fp16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""non-deterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",deterministic;fp16;non-deterministic;precision,cross_backend_architecture,,candidate_new_trigger,linked_pr_unmerged,https://github.com/vllm-project/vllm/pull/29161,PR #29161 is linked but not merged,ci-failure,,,cross_backend_architecture,,,
vllm-project/vllm,24777,https://github.com/vllm-project/vllm/issues/24777,[Bug] / [Feature]: Determinism in E2E Spec Decode Test,closed,2025-09-12T19:09:08Z,2026-01-17T02:16:03Z,2026-01-17T02:16:03Z,"""deterministic"" ""associativity"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""floating point"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""speculative"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""associativity"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""floating point"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""speculative"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",associativity;deterministic;floating point;reduction;speculative;temperature 0,speculative_decoding,,candidate_new_trigger,linked_merged_pr,https://github.com/vllm-project/vllm/pull/24771,PR #24771 is merged,bug;stale,,,speculative_decoding,,,
vllm-project/vllm,28538,https://github.com/vllm-project/vllm/issues/28538,[RFC]: 4-bit KV cache quantization through Hadamard transforms,closed,2025-11-12T09:33:44Z,2026-03-14T02:16:43Z,2026-04-06T01:04:35Z,"""deterministic"" ""backend"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""bf16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""fp16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""quantization"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""reduction"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""rounding"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",backend;bf16;deterministic;fp16;precision;quantization;reduction;rounding,quantization_paths;cross_backend_architecture,,candidate_new_trigger,linked_pr_unmerged,https://github.com/vllm-project/vllm/pull/15162,PR #15162 is linked but not merged,RFC;stale,,,quantization_paths;cross_backend_architecture,,,
vllm-project/vllm,29466,https://github.com/vllm-project/vllm/issues/29466,[CI Failure]: mi325_1: Language Models Test (Extended Pooling),closed,2025-11-26T00:41:57Z,2026-03-16T21:59:03Z,2026-03-16T21:59:03Z,"""deterministic"" ""backend"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""prefix cache"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",backend;deterministic;precision;prefix cache,speculative_decoding;memory_layout;cross_backend_architecture,,candidate_new_trigger,linked_merged_pr,https://github.com/vllm-project/vllm/pull/31612,PR #31612 is merged,ci-failure,,,speculative_decoding;memory_layout;cross_backend_architecture,,,
vllm-project/vllm,41295,https://github.com/vllm-project/vllm/issues/41295,[CI Failure]:  mi355_1: Quantization,closed,2026-04-29T22:14:15Z,2026-05-11T17:29:46Z,2026-05-11T17:29:46Z,"""deterministic"" ""MoE"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""bf16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""fp16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""quantization"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",bf16;deterministic;fp16;MoE;precision;quantization,quantization_paths;moe_execution,,candidate_new_trigger,linked_pr_unmerged,https://github.com/vllm-project/vllm/pull/41290,PR #41290 is linked but not merged,ci-failure,,,quantization_paths;moe_execution,,,
vllm-project/vllm,36755,https://github.com/vllm-project/vllm/issues/36755,[Bug] Preemption + async scheduling race can corrupt prompt-token accounting and crash Prometheus counters,closed,2026-03-11T07:49:36Z,2026-04-08T10:10:50Z,2026-04-08T10:10:50Z,"""deterministic"" ""preemption"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""deterministic"" ""scheduler"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""inconsistent"" ""preemption"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""inconsistent"" ""scheduler"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",deterministic;inconsistent;preemption;scheduler,runtime_scheduling,,candidate_new_trigger,linked_pr_unmerged,https://github.com/vllm-project/vllm/pull/36752,PR #36752 is linked but not merged,,,,runtime_scheduling,,,
vllm-project/vllm,20265,https://github.com/vllm-project/vllm/issues/20265,[RFC]: Online inference benchmark tool for multi-turn conversations,closed,2025-06-30T15:10:36Z,2025-08-13T14:05:56Z,2025-11-11T09:01:06Z,"""deterministic"" ""backend"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""temperature 0"" ""backend"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",backend;deterministic;temperature 0,speculative_decoding;moe_execution;cross_backend_architecture,,candidate_new_trigger,linked_merged_pr,https://github.com/vllm-project/vllm/pull/15960,PR #15960 is merged,RFC,,,speculative_decoding;moe_execution;cross_backend_architecture,,,
vllm-project/vllm,34932,https://github.com/vllm-project/vllm/issues/34932,RuntimeError: Already borrowed in Hermes tool parser under concurrent load,closed,2026-02-20T01:48:56Z,2026-04-24T01:20:32Z,2026-05-22T10:55:40Z,"""deterministic"" ""backend"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",backend;deterministic,quantization_paths;cross_backend_architecture,,candidate_new_trigger,linked_merged_pr,https://github.com/vllm-project/vllm/pull/38168,PR #38168 is merged,,,,quantization_paths;cross_backend_architecture,,,
vllm-project/vllm,40758,https://github.com/vllm-project/vllm/issues/40758,[CI Failure]: `Qwen3.6-35B-A3B-FP8` fails on `NVIDIA GB10` with `cutlass_scaled_mm` / `cutlass_gemm_caller Error Internal` under vLLM nightly + CUDA 13.0,closed,2026-04-24T02:45:59Z,2026-05-01T16:15:39Z,2026-05-01T16:15:39Z,"""reproducible"" ""CUDA graph"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""reproducible"" ""MoE"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""reproducible"" ""backend"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""reproducible"" ""quantization"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",backend;CUDA graph;expert;MoE;quantization;reproducible,speculative_decoding;quantization_paths;moe_execution;runtime_scheduling;cross_backend_architecture,,candidate_new_trigger,linked_merged_pr,https://github.com/vllm-project/vllm/pull/41215,PR #41215 is merged,ci-failure,,,speculative_decoding;quantization_paths;moe_execution;runtime_scheduling;cross_backend_architecture,,,
